plot,herbivores,transect,distance,cover_status,achmil,anevir,astcan,bapalb,boucur,carbic,chafas,descan,echpal,elyvir,eryyuc,galbor,pendig,phyvir,rudhir,solrig,sornut,symeri
1,yes,1,far,uncover,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
1,yes,1,near,cover,0,0,0,0,1,0.5,0,7,0,0,0,0,0,0,1,0,27,0
1,yes,1,near,uncover,0,0,0,0,0,4,0,10,0,0,0,0,0,0,1,0,0,0
1,yes,2,far,cover,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
1,yes,2,far,uncover,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1,yes,2,near,cover,0,0,0,0,0,3,0.5,25,0,0,0,0,0,0,13,0,1,0
1,yes,2,near,uncover,0,0,0,0,1,0,0.5,8,0,0,0,0,0,0,2,0,0,0
1,yes,3,far,cover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1,yes,3,near,cover,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0,5,0
1,yes,3,near,uncover,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,yes,4,far,cover,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,5,0
1,yes,4,far,uncover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1,yes,4,near,cover,0,0,0,0,0,0,0.75,15,0,0,0,0,0,0,1,0,18,0
1,yes,4,near,uncover,0,0,0,0,0,0,1,9,0,0,0,0,0,0,3,0,0,0
2,yes,1,far,cover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2,yes,1,far,uncover,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,yes,1,near,cover,0,0,0,6,0,6,3,0.1,0,0,0,0,0,0,0,0,0,0
2,yes,1,near,uncover,0,0,0,0,2,15,2,2,0,0,0,0,0,0,0,0,0,2
2,yes,2,far,cover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,8,0
2,yes,2,far,uncover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2,yes,2,near,cover,0,0,0,0,0,0,2.5,55,0,0,0,0,0.5,0,2,0,12,0
2,yes,2,near,uncover,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0
2,yes,3,near,cover,0,0,0,0,0,0,0.5,22,0,0,0,0,0,0,0,0,0,0
2,yes,3,near,uncover,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0
2,yes,4,far,cover,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,yes,4,far,uncover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
2,yes,4,near,cover,0,1,0,0,0,0,4,25,0,0,0,0,0,2.5,7,0,10,0
2,yes,4,near,uncover,0,0,0,0,0,0,3,10,0,0,0,0,0,0,2.5,0,9,0
3,yes,1,far,cover,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0
3,yes,1,near,cover,0,0,0,0,12,0,3,1,0,0,0,0,0,0,1,0,0,0
3,yes,1,near,uncover,0,0,0,0,0,0,0.1,23,0,0,0,0,0,0,0,0,0,0
3,yes,2,far,cover,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
3,yes,2,far,uncover,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
3,yes,2,near,cover,0,0,0,0,0,3.5,6,0,0,0,0,0,0,0,0,0,25,0
3,yes,2,near,uncover,0,0,0,0,0,0,2.5,0,0,0,0,0,3,0,0,0,0,0
3,yes,3,far,cover,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0
3,yes,3,far,uncover,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0
3,yes,3,near,cover,0,0,0,0,1,0,3,6,0,0,0,0,0,0,1,0,26,0
3,yes,3,near,uncover,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,0,7,0
3,yes,4,far,cover,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
3,yes,4,far,uncover,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
3,yes,4,near,cover,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0
3,yes,4,near,uncover,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,yes,1,far,cover,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
4,yes,1,near,cover,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0
4,yes,1,near,uncover,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
4,yes,2,far,cover,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0
4,yes,2,far,uncover,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0
4,yes,2,near,cover,0,0,0,0,0,0,3,40,0,1,0,0,0,0,0,0,3,0
4,yes,2,near,uncover,0,3,0,0,0,0,2,35,0,0,0,0,0,0,2,0,0,0
4,yes,3,far,cover,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
4,yes,3,near,cover,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0
4,yes,3,near,uncover,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
4,yes,4,far,cover,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
4,yes,4,near,cover,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,6,0
4,yes,4,near,uncover,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
5,no,1,far,uncover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
5,no,1,near,cover,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,no,1,near,uncover,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0
5,no,2,far,cover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
5,no,2,near,cover,0,0,0,0,0,0,0.5,30,0,1,0,0,0,0,0,0,0,0
5,no,2,near,uncover,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0
5,no,3,far,uncover,0,0,0,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0
5,no,3,near,cover,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0
5,no,3,near,uncover,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0
5,no,4,far,cover,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,no,4,far,uncover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
5,no,4,near,cover,0,0,0.5,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0
5,no,4,near,uncover,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0
6,no,1,far,cover,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0
6,no,1,far,uncover,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
6,no,1,near,cover,0,0,0,0,13,0,2.5,0,0,1,0,0,0,0,3,0,0,1
6,no,1,near,uncover,0,0,0,0,5,0,5,0,0,0,0,0,0,0,1,0,0,0
6,no,2,far,cover,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
6,no,2,far,uncover,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
6,no,2,near,cover,0,0,0,0,0,30,7,0,0,0,22,0,0,0,3,0,0,0
6,no,2,near,uncover,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
6,no,3,far,cover,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.1,0,7,0
6,no,3,near,cover,0,0,0,0,0,50,10,11,0,0,0,0,0,0,6,0,1,0
6,no,3,near,uncover,0,0,0,0,0,3,1,0,0,1,0,0,0.5,0,3,0,0,0
6,no,4,far,cover,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0.5
6,no,4,far,uncover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,12,0,0,0
6,no,4,near,cover,0,0,0,0,0,20,1,15,0,0,0,0,0,0,1,0,0,15
6,no,4,near,uncover,0,0,0,0,0,30,1,0,0,0,0,0,0,0,2,0,0,0
7,no,1,far,cover,0,0,0,0,0,0,20,10,0,0,0,0,0,0,1,0,0,2
7,no,1,far,uncover,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,no,1,near,cover,0.5,0,0,0,0,0.5,2,27,0,0,0,0,8,0,2,0,12,13
7,no,1,near,uncover,0,0,0,0,0,0,3,7,0,0,0,0,1,0,6,0,0,0
7,no,2,far,cover,0,0,0,0,0,0,1,13,0,0,0,0,0,0,8,0,5,0
7,no,2,far,uncover,0,0,0,0,0,0,1,6,0,0,0,0,0,0,2,0,0,0
7,no,2,near,cover,0,0,0,0,0,0,2,20,0,0,1,1,3,0,6,0,9,2
7,no,2,near,uncover,0,0,0,0,0,1,6,0,0,0,1,0,27,0,5,0,0,0
7,no,3,far,cover,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
7,no,3,far,uncover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
7,no,3,near,cover,0,0,5,0,0,1,1,40,0,0,0,0,0,0,1,1,0,3
7,no,3,near,uncover,0,0,0,0,0,8,3,1,2,0,0,0,0,0,4,0,0,0
7,no,4,far,cover,0,0,0,0,0,0,2,22,0,0,0,0,0,0,2,0,0,3
7,no,4,far,uncover,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1.5,0,0,0
7,no,4,near,cover,0,0,0,0,0,0,1,13,0,0,1,0,1,0,2,0,0,9
7,no,4,near,uncover,0,0,0,0,0,1,6,5,0,0,0,0,3,0,2,1,0,0
8,no,1,far,cover,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,4
8,no,1,far,uncover,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
8,no,1,near,cover,0,0,0,0,5,0,10,0,0,0,0,0,0,0,7,0,0,0
8,no,1,near,uncover,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.5,0,0,0
8,no,2,far,cover,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,4,2
8,no,2,far,uncover,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0
8,no,2,near,cover,0,0,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0,4
8,no,2,near,uncover,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1
8,no,3,far,cover,0,0,0,0,0,0,2,4,0,0,0,4,0,0,0,0,0,0
8,no,3,far,uncover,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,no,3,near,cover,0,0,0,0,0,3,2,7,0,0,0,0,0,0,1,0,0,1
8,no,3,near,uncover,0,0,0,0,0,14,3,0,0,0,0,0,0,0,1,0,0,0
8,no,4,far,cover,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,0,0
8,no,4,far,uncover,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0
8,no,4,near,cover,0,0,0,0,0,6,6,2,0,0,0,0,3,0,0,0,20,0
8,no,4,near,uncover,0,0,0,0,0,0,15,1,0,3,0,0,4,0,0.5,0,0,0
