plot,transect,trans_unique,treatment
1,1,1,herbivores
1,2,2,herbivores
1,3,3,herbivores
1,4,4,herbivores
2,1,5,herbivores
2,2,6,herbivores
2,3,7,herbivores
2,4,8,herbivores
3,1,9,herbivores
3,2,10,herbivores
3,3,11,herbivores
3,4,12,herbivores
4,1,13,herbivores
4,2,14,herbivores
4,3,15,herbivores
4,4,16,herbivores
5,1,17,no_herbivores
5,2,18,no_herbivores
5,3,19,no_herbivores
5,4,20,no_herbivores
6,1,21,no_herbivores
6,2,22,no_herbivores
6,3,23,no_herbivores
6,4,24,no_herbivores
7,1,25,no_herbivores
7,2,26,no_herbivores
7,3,27,no_herbivores
7,4,28,no_herbivores
8,1,29,no_herbivores
8,2,30,no_herbivores
8,3,31,no_herbivores
8,4,32,no_herbivores